hh,campaign_id,status,budget,spent,impressions,clicks,views,checkout,purchase,rev
00,120248321751560561,ACTIVE,150,0.51,23,1,1,0,0,0
00,120244349823030686,ACTIVE,100,0.51,9,0,0,0,0,0
00,120249120674110404,ACTIVE,300,0.51,16,2,2,0,0,0
00,120244242496990780,ACTIVE,100,0.51,13,0,0,0,0,0
00,120247438960760043,ACTIVE,320,0.51,11,2,2,0,0,0
00,120235701428420210,ACTIVE,200,0.5,11,1,0,0,0,0
00,120245284137880686,ACTIVE,500,0.5,9,0,0,0,0,0
00,120250445767170166,ACTIVE,30,0.49,6,0,0,0,0,0
00,120248622152780695,ACTIVE,188,0.48,36,1,2,0,0,0
00,120245334049460065,ACTIVE,400,0.47,20,0,0,0,0,0
00,120246471244780065,ACTIVE,135,0.46,11,0,0,0,0,0
00,120247508005810509,ACTIVE,100,0.46,20,0,0,0,0,0
00,120252136292710054,ACTIVE,200,0.46,15,0,0,0,0,0
00,120244302719110146,ACTIVE,100,0.46,11,0,0,0,0,0
00,120244824816070686,ACTIVE,500,0.45,13,0,0,0,0,0
00,120248862702290229,ACTIVE,80,0.45,13,0,0,0,0,0
00,120247220172900175,ACTIVE,87,0.45,14,0,1,0,0,0
00,120249088233310651,ACTIVE,150,0.44,13,0,0,0,0,0
00,120245284052330686,ACTIVE,80,0.44,16,1,2,0,0,0
00,120247114547280509,ACTIVE,85,0.43,16,0,1,0,0,0
00,120245840085750780,ACTIVE,80,0.43,8,0,0,0,0,0
00,120248574839550695,ACTIVE,250,0.42,20,1,1,0,0,0
00,120249449604610725,ACTIVE,100,0.42,8,0,0,0,0,0
00,120250747283060166,ACTIVE,30,0.42,10,2,2,0,0,0
00,120245063703470133,ACTIVE,180,0.42,16,0,0,0,0,0
00,120248384078410455,ACTIVE,134,0.42,19,0,1,0,0,0
00,120247245979210389,ACTIVE,100,0.41,13,1,1,0,0,0
00,120245608347680133,ACTIVE,260,0.41,14,0,1,1,0,0
00,120247974813980642,ACTIVE,100,0.41,11,0,0,0,0,0
00,120246191098590320,ACTIVE,400,0.41,27,1,1,0,0,0
00,120248151239370425,ACTIVE,200,0.41,8,0,1,0,0,0
00,120244824582450436,ACTIVE,100,0.41,22,1,1,0,0,0
00,120248072969230389,ACTIVE,136,0.4,26,1,1,0,0,0
00,120245736523970177,ACTIVE,200,0.39,12,0,0,0,0,0
00,120247866311490389,ACTIVE,100,0.38,14,0,0,0,0,0
00,120246468260540320,ACTIVE,109,0.38,15,1,1,0,0,0
00,120245685799910707,ACTIVE,100,0.38,9,2,1,1,0,0
00,120246624479910241,ACTIVE,129,0.36,7,0,0,0,0,0
00,120242031621370065,ACTIVE,229,0.35,29,0,0,0,0,0
00,120243929504820146,ACTIVE,100,0.35,7,1,1,0,0,0
